experiment,model,n_train,n_test,features,notes,use_log_target,MAE,RMSE,R2
EXP1_base,Linear,10227,2557,"temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_speed_10m_mean,temp_range",Only physical state variables / Solo variables físicas,False,3.735494230806921,8.517895464321157,0.21346643626596518
EXP1_base,Ridge,10227,2557,"temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_speed_10m_mean,temp_range",Only physical state variables / Solo variables físicas,False,3.7354883203326334,8.517893168967985,0.21346686016693328
EXP1_base,Lasso,10227,2557,"temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_speed_10m_mean,temp_range",Only physical state variables / Solo variables físicas,False,3.735274792982984,8.517779930297628,0.2134877727032023
EXP1_base,RandomForest,10227,2557,"temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_speed_10m_mean,temp_range",Only physical state variables / Solo variables físicas,False,2.9536792554792357,7.433042703035424,0.40105643413083325
EXP2_base_season,Linear,10227,2557,"temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_speed_10m_mean,temp_range,doy_sin,doy_cos",Physical + annual cycle / Física + estacionalidad,False,3.778685099294779,8.48472378909982,0.21958058335502317
EXP2_base_season,Ridge,10227,2557,"temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_speed_10m_mean,temp_range,doy_sin,doy_cos",Physical + annual cycle / Física + estacionalidad,False,3.778495973383601,8.48466502897803,0.21959139275373052
EXP2_base_season,Lasso,10227,2557,"temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_speed_10m_mean,temp_range,doy_sin,doy_cos",Physical + annual cycle / Física + estacionalidad,False,3.77743342149195,8.484273372614725,0.21966343919078823
EXP2_base_season,RandomForest,10227,2557,"temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_speed_10m_mean,temp_range,doy_sin,doy_cos",Physical + annual cycle / Física + estacionalidad,False,2.8211563714736574,7.281292170983974,0.4252624607346015
EXP3_memory,Linear,10220,2557,"precip_lag_1,precip_lag_3,precip_lag_7,precip_roll_3,precip_roll_7",Only precipitation persistence / Solo persistencia,False,2.8263306656899694,6.333079839800772,0.5652069690259685
EXP3_memory,Ridge,10220,2557,"precip_lag_1,precip_lag_3,precip_lag_7,precip_roll_3,precip_roll_7",Only precipitation persistence / Solo persistencia,False,2.8263306463306574,6.333079393520159,0.5652070303041138
EXP3_memory,Lasso,10220,2557,"precip_lag_1,precip_lag_3,precip_lag_7,precip_roll_3,precip_roll_7",Only precipitation persistence / Solo persistencia,False,2.8262875196492527,6.333051019260438,0.5652109263238045
EXP3_memory,RandomForest,10220,2557,"precip_lag_1,precip_lag_3,precip_lag_7,precip_roll_3,precip_roll_7",Only precipitation persistence / Solo persistencia,False,2.648316196397897,6.395176469513015,0.5566387691333952
EXP4_season_memory,Linear,10220,2557,"doy_sin,doy_cos,precip_lag_1,precip_lag_3,precip_lag_7,precip_roll_3,precip_roll_7",Annual cycle + persistence / Estacionalidad + persistencia,False,2.821958783168054,6.332811770258267,0.5652437764893365
EXP4_season_memory,Ridge,10220,2557,"doy_sin,doy_cos,precip_lag_1,precip_lag_3,precip_lag_7,precip_roll_3,precip_roll_7",Annual cycle + persistence / Estacionalidad + persistencia,False,2.8219584476149784,6.33281109453477,0.5652438692680233
EXP4_season_memory,Lasso,10220,2557,"doy_sin,doy_cos,precip_lag_1,precip_lag_3,precip_lag_7,precip_roll_3,precip_roll_7",Annual cycle + persistence / Estacionalidad + persistencia,False,2.8219058243460537,6.332763336965973,0.5652504264879448
EXP4_season_memory,RandomForest,10220,2557,"doy_sin,doy_cos,precip_lag_1,precip_lag_3,precip_lag_7,precip_roll_3,precip_roll_7",Annual cycle + persistence / Estacionalidad + persistencia,False,2.6460949370098787,6.406261648040006,0.5551004228692555
EXP5_base_memory,Linear,10220,2557,"temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_speed_10m_mean,temp_range,precip_lag_1,precip_lag_3,precip_lag_7,precip_roll_3,precip_roll_7",Physical + persistence / Física + persistencia,False,2.8536031845723424,6.149729606226467,0.5900180940218539
EXP5_base_memory,Ridge,10220,2557,"temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_speed_10m_mean,temp_range,precip_lag_1,precip_lag_3,precip_lag_7,precip_roll_3,precip_roll_7",Physical + persistence / Física + persistencia,False,2.8536001698602336,6.149729183625636,0.5900181503686202
EXP5_base_memory,Lasso,10220,2557,"temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_speed_10m_mean,temp_range,precip_lag_1,precip_lag_3,precip_lag_7,precip_roll_3,precip_roll_7",Physical + persistence / Física + persistencia,False,2.8532555331923937,6.1496662328865535,0.5900265437555746
EXP5_base_memory,RandomForest,10220,2557,"temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_speed_10m_mean,temp_range,precip_lag_1,precip_lag_3,precip_lag_7,precip_roll_3,precip_roll_7",Physical + persistence / Física + persistencia,False,2.1053924548648566,5.557063245851947,0.6652324704651404
EXP6_full,Linear,10220,2557,"temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_speed_10m_mean,temp_range,doy_sin,doy_cos,precip_lag_1,precip_lag_3,precip_lag_7,precip_roll_3,precip_roll_7",Full model / Modelo completo,False,2.900368389043751,6.154354430438744,0.5894012190262581
EXP6_full,Ridge,10220,2557,"temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_speed_10m_mean,temp_range,doy_sin,doy_cos,precip_lag_1,precip_lag_3,precip_lag_7,precip_roll_3,precip_roll_7",Full model / Modelo completo,False,2.9003151411536536,6.15433945722576,0.5894032169532832
EXP6_full,Lasso,10220,2557,"temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_speed_10m_mean,temp_range,doy_sin,doy_cos,precip_lag_1,precip_lag_3,precip_lag_7,precip_roll_3,precip_roll_7",Full model / Modelo completo,False,2.899233520918777,6.154089784867384,0.5894365308737921
EXP6_full,RandomForest,10220,2557,"temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_speed_10m_mean,temp_range,doy_sin,doy_cos,precip_lag_1,precip_lag_3,precip_lag_7,precip_roll_3,precip_roll_7",Full model / Modelo completo,False,2.1131223322583534,5.550006424209903,0.6660821619875303
EXP7_full_lags_only,Linear,10220,2557,"temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_speed_10m_mean,temp_range,doy_sin,doy_cos,precip_lag_1,precip_lag_7",A+B + lags only / A+B + solo lags,False,3.740466117428945,8.350189116271494,0.2441331980817837
EXP7_full_lags_only,Ridge,10220,2557,"temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_speed_10m_mean,temp_range,doy_sin,doy_cos,precip_lag_1,precip_lag_7",A+B + lags only / A+B + solo lags,False,3.740306383455493,8.350131815806497,0.24414357182781898
EXP7_full_lags_only,Lasso,10220,2557,"temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_speed_10m_mean,temp_range,doy_sin,doy_cos,precip_lag_1,precip_lag_7",A+B + lags only / A+B + solo lags,False,3.7392434986248464,8.349713257668643,0.24421934594417372
EXP7_full_lags_only,RandomForest,10220,2557,"temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_speed_10m_mean,temp_range,doy_sin,doy_cos,precip_lag_1,precip_lag_7",A+B + lags only / A+B + solo lags,False,2.8668700265088733,7.350707450774877,0.41425185002717413
EXP8_full_roll_only,Linear,10221,2557,"temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_speed_10m_mean,temp_range,doy_sin,doy_cos,precip_roll_7",A+B + roll only / A+B + solo rolling,False,3.7684448140856714,7.969560453375516,0.31147234769679544
EXP8_full_roll_only,Ridge,10221,2557,"temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_speed_10m_mean,temp_range,doy_sin,doy_cos,precip_roll_7",A+B + roll only / A+B + solo rolling,False,3.768390322667182,7.969512627251726,0.3114806115176467
EXP8_full_roll_only,Lasso,10221,2557,"temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_speed_10m_mean,temp_range,doy_sin,doy_cos,precip_roll_7",A+B + roll only / A+B + solo rolling,False,3.7678049838913035,7.96900371659431,0.3115685425326058
EXP8_full_roll_only,RandomForest,10221,2557,"temperature_2m_mean,relative_humidity_2m_mean,cloud_cover_mean,surface_pressure_mean,wind_speed_10m_mean,temp_range,doy_sin,doy_cos,precip_roll_7",A+B + roll only / A+B + solo rolling,False,2.770830550377251,6.53207571475165,0.5374538522040848
