date,temp_max_c,temp_min_c,humidity_avg,precip_mm,pressure_mb
2025-07-26,10.7,6.3,75,0.0,1022.04
2025-07-27,13.4,7.4,68,0.03,1022.83
2025-07-28,14.1,6.7,76,0.09,1027.21
2025-07-29,14.9,7.3,76,0.0,1024.79
2025-07-30,17.4,8.5,67,0.0,1018.67
2025-07-31,18.3,11.0,68,0.4,1013.17
2025-08-01,20.6,15.2,83,5.9,1007.79
2025-08-02,18.2,12.4,82,0.0,1011.5
2025-08-03,15.3,9.6,55,0.0,1022.46
2025-08-04,13.8,8.3,50,0.0,1029.21
2025-08-05,12.8,6.7,70,0.0,1030.25
2025-08-06,15.4,6.9,65,0.0,1024.04
2025-08-07,13.1,8.6,66,0.0,1024.04
2025-08-08,12.8,4.8,65,0.0,1028.79
2025-08-09,14.5,5.8,64,0.0,1025.58
2025-08-10,15.9,6.4,60,0.0,1024.25
2025-08-11,17.6,7.0,59,0.0,1021.54
2025-08-12,20.4,9.2,62,0.0,1015.21
2025-08-13,14.4,9.4,63,0.0,1024.04
2025-08-14,12.8,5.2,63,0.0,1031.62
2025-08-15,12.8,6.4,66,0.0,1028.71
2025-08-16,12.0,7.4,77,0.1,1022.75
2025-08-17,15.7,10.4,89,0.0,1021.42
2025-08-18,18.0,11.0,83,1.3,1019.92
2025-08-19,15.3,13.4,97,67.9,1007.33
2025-08-20,16.3,11.6,86,11.1,1001.71
2025-08-21,17.6,8.8,70,0.0,1010.21
2025-08-22,17.2,9.1,84,0.4,1006.25
2025-08-23,13.1,7.4,55,0.0,1021.92
2025-08-24,15.3,4.8,57,0.0,1023.21
2025-08-25,18.1,7.8,62,0.0,1021.67
2025-08-26,19.9,10.1,64,0.0,1025.88
2025-08-27,19.8,10.6,68,0.0,1026.5
2025-08-28,20.3,10.4,77,0.0,1023.04
2025-08-29,21.8,12.7,81,0.0,1018.58
2025-08-30,20.0,14.0,86,0.1,1018.62
2025-08-31,19.3,13.9,94,13.0,1013.46
2025-09-01,17.9,10.7,87,6.8,1013.04
2025-09-02,15.9,10.0,79,0.4,1014.83
2025-09-03,18.3,8.3,76,0.1,1015.29
2025-09-04,10.5,5.7,58,0.0,1026.12
2025-09-05,12.6,3.8,57,0.0,1031.04
2025-09-06,13.1,4.5,60,0.0,1029.38
2025-09-07,15.4,5.4,69,0.0,1023.29
2025-09-08,18.5,9.8,76,0.0,1016.33
2025-09-09,20.7,9.1,69,0.0,1017.21
2025-09-10,22.2,10.9,73,0.1,1015.96
2025-09-11,20.9,10.4,58,0.0,1023.21
2025-09-12,19.5,10.9,68,0.0,1023.12
2025-09-13,20.4,10.5,63,0.1,1018.21
2025-09-14,22.1,12.8,76,0.4,1018.17
2025-09-15,21.8,12.7,73,2.8,1019.29
